reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,lang
95c4c332-22f7-4a3e-9049-83ff9ee11a8b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,jangan jadi pro semua dong balikin versi gak pronya😔,1,0,17.2.0,2026-03-25 12:35:32,,,17.2.0,id
5ac7bfec-8739-497b-bf98-0d56b6c4dd73,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sekolah SD 4 darul aman,5,0,,2026-03-25 12:35:25,,,,id
6f34c887-fe3e-4f20-85b8-d7a77d898eb0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya si tdk rekomendasi aplikasi capcut ini harus berlangganan dulu saya cobak uji coba malah harus berlangganan enak yang kemarin ² capcut nya cumak nonton iklan eh malah harus berlangganan saya sih tidak rekomendasi aplikasi ini,1,0,17.2.0,2026-03-25 12:29:58,,,17.2.0,id
29d9d210-06ae-4c46-a3f8-828cf011bb31,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya coba dulu,4,0,,2026-03-25 12:28:15,,,,id
e682a46c-5d79-4b82-9ad2-40307d56d2d6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ah- ahh ah mphh a-ah,1,0,17.2.0,2026-03-25 12:26:53,,,17.2.0,id
8a0ecb9b-db43-4cdc-964c-bf0505326f4b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kikir!,1,0,16.9.0,2026-03-25 12:19:42,,,16.9.0,id
4adf8779-5ef6-47ad-b570-7daecc9e1726,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi nya sangat baguss,saya sangat suka!!",1,0,,2026-03-25 12:15:31,,,,id
25cec3e2-6731-45ba-be5b-0e84f322e84d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ter update,5,0,17.1.0,2026-03-25 12:12:40,,,17.1.0,id
618d9e62-1322-460b-85ab-0fd18386736d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gw pake ini kalau bikin slowmo patah patah yang gw malesin itu,5,0,,2026-03-25 12:11:21,,,,id
a4d6ecd6-3f73-4613-b680-c3c2551af914,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,,2026-03-25 11:55:44,,,,id
66d3b55c-a750-45ae-862f-10d1ef55335c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ᥲsіk,5,0,,2026-03-25 11:52:25,,,,id
47394f0a-e998-41ea-96cd-57bd70d89bb6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kenapaa filternyaa tidakbisa dibukaaa selalu muncul *tidak adaa koneksi internet*,1,0,14.8.0,2026-03-25 11:52:13,,,14.8.0,id
e56a91a3-8871-4925-b5ab-31bb88911f47,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,di sini ngampang edit foto sama video ayo Donwold sekarang,5,0,,2026-03-25 11:51:54,,,,id
103d6671-3465-4ef6-9b27-6618582df4c8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,banyak iklannya,3,0,17.1.0,2026-03-25 11:48:30,,,17.1.0,id
2972f93e-539f-4b42-9450-2842c3e8a524,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bagus,tpii kok sering ngeleg ya kalau lagi mau ngedit,tolong perbaiki ya,biar ga ngeleg",3,0,16.0.0,2026-03-25 11:40:25,,,16.0.0,id
51e18572-5bee-475d-946e-470d021a5d57,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kikir,1,0,17.0.0,2026-03-25 11:38:37,,,17.0.0,id
6953fdff-9a47-4004-97f3-67bcaf8d5357,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bukannya apa ya..tapi sekarang kenapa harus ada pembayaran, padahal dulu murah,aku kasih nilai segini aja dulu",2,4,14.1.0,2026-03-25 11:23:40,,,14.1.0,id
57b18251-0450-4e90-9f8c-e52da0cc7319,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,masa cuman ngedit aja udah standar,1,0,17.2.0,2026-03-25 11:17:36,,,17.2.0,id
902439f9-77b2-4a50-a2bf-baaff01a56bf,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,karna dia susah di dowlod di hp aku,4,0,,2026-03-25 11:17:32,,,,id
848808a0-91bb-4978-975a-b03762d88412,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,teksturnya itu tuh kalau dibuat video tuh bagus banget banget,5,0,17.1.0,2026-03-25 11:14:18,,,17.1.0,id
d515726d-913c-4165-95ff-79d0171bceda,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,yelah dah kikir mana edit susah gua dihapus ama ni apk,2,0,17.1.0,2026-03-25 11:09:02,,,17.1.0,id
