reviewId;userName;userImage;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt;appVersion;lang;cat;
5c27dbc2-0cab-4196-b1cf-d6678e061936;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;cukup bagus tapi tolong kurangkan iklan;4;0;16.9.0;10/03/2026 08:12;;;16.9.0;id;pos;
24152f76-225e-4b79-881f-e865de5fd618;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;Bagus..bangetttttttt🤭🤭🤩🤩🥰😘😘🤩🤩🤩🤩;5;0;16.2.0;10/03/2026 07:47;;;16.2.0;id;pos;52
d3840854-8116-41ef-aeb2-327484969b85;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;memudahkan edit gambar🙏;5;0;16.9.0;10/03/2026 07:39;;;16.9.0;id;pos;52
3dd37e4b-c0b7-4164-a150-b53415b3c580;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;aneh sih yang ngasih bintang 5;1;19;6.9.0;10/03/2026 07:38;;;6.9.0;id;neg;
5c5e8c9e-012b-4eb6-a999-fef33a0105eb;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;bagus ini sangat bagus aplikasi yang mudah di pakai tapi sebagian editan vidio itu harus pake diamond mohon fitur diamond nya hilangkan;5;0;;10/03/2026 07:36;;;;id;pos;
267d44b6-b0b7-4e19-8467-f45644d8ec64;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;ngga;5;0;16.9.0;10/03/2026 07:32;;;16.9.0;id;neg;
15ac1f27-fa1d-4687-9b2c-500b6146222a;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;apaan tiba tiba saldo ilang gara² ni aplikasi padahal ga di pake² apk jelek capcutnya juga, ga membantu kikir lagi hadeh;1;0;9.7.0;10/03/2026 07:18;;;9.7.0;id;neg;
2947c5c7-5534-42f3-944f-b45ddf524930;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;berkat capcut channel youtube saya naik drastis😁 awalnya punya 57 subscriber sekarang melesat tinggi jadi 798 subscriber🤩 terimakasih capcut😁;5;0;16.9.0;10/03/2026 07:17;;;16.9.0;id;pos;
03c98133-775f-4923-8c03-2480a4c4dcd7;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;aplikasi liberal kebanyakan berbayar;1;0;15.0.0;10/03/2026 07:03;;;15.0.0;id;neg;
9d742dc1-83c5-433b-9563-7c60174beafb;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;bapak ku plastore apa kau;5;0;;10/03/2026 06:50;;;;id;neg;
